English,Russian
tsunami,цунами
deficiency,дефицит
drunk,пьяный
rhythm,ритм
cop,полицейский
suspension,приостановка
atomic,атомный
canyon,каньон
slavery,рабство
broadband,широкополосный
likelihood,вероятность
stir,помешивать
overhead,над головой
lyric,лирика
disciple,ученик
worm,червь
polish,польский
locally,локально
banner,баннер
brave,Храбрый
harassment,домогательство
adjacent,соседний
clarity,ясность
tiger,тигр
pesticide,пестицид
pine,сосна
allege,утверждать
antibiotic,антибиотик
inability,неспособность
oak,дуб
helicopter,вертолет
adaptation,приспособление
automobile,автомобиль
offshore,оффшор
dam,плотина
closure,закрытие
absent,отсутствующий
historically,исторически
racialism,расиазм
serial,сериал
oversee,наблюдательный
alongside,наряду
morgan,Морган
jerusalem,Иерусалим
